id,mood,timestamp,relative_position,device_type,subject
1,excited,15/07/2019 11:25,0.5,AP,1
301,calm,03/10/2019 22:22,0.0136532,CL,23
302,calm,04/10/2019 06:19,0.475886,CL,23
303,relaxed,04/10/2019 09:31,0.00401925,CL,23
304,happy,04/10/2019 14:36,0.292445,CL,23
305,relaxed,04/10/2019 15:39,0.858821,CL,23
306,relaxed,04/10/2019 18:04,0.0820662,CL,23
307,calm,04/10/2019 23:46,0.479299,CL,23
9,happy,21/07/2019 08:35,0.519404,CL,1
10,excited,21/07/2019 08:37,0.468162,CL,1
12,bored,21/07/2019 08:45,0.0227594,CL,1
13,bored,21/07/2019 08:47,0.0182721,CL,1
308,relaxed,05/10/2019 07:43,0.404015,CL,23
16,happy,21/07/2019 09:09,0.461484,CL,1
17,happy,22/07/2019 08:46,0.464819,CL,1
18,calm,23/07/2019 09:04,0.613916,CL,1
19,nervous,08/08/2019 05:33,0.567872,CL,1
20,nervous,08/08/2019 05:50,0.560901,CL,1
21,excited,08/08/2019 05:51,0.454968,CL,1
22,excited,08/08/2019 06:03,0.471866,CL,1
23,excited,08/08/2019 08:27,0.473487,CL,1
24,sad,08/08/2019 09:29,0.602079,CL,1
25,nervous,08/08/2019 09:31,0.592873,CL,1
26,annoyed,08/08/2019 09:38,0.66328,CL,1
27,annoyed,08/08/2019 09:39,0.660155,CL,1
28,relaxed,08/08/2019 09:44,0.555477,CL,1
29,relaxed,08/08/2019 09:49,0.55482,CL,1
30,relaxed,08/08/2019 09:50,0.55482,CL,1
31,happy,08/08/2019 09:56,0.404817,CL,1
32,happy,08/08/2019 09:57,0.396065,CL,1
33,excited,08/08/2019 10:06,0.444319,CL,1
34,excited,08/08/2019 10:10,0.440847,CL,1
35,nervous,08/08/2019 10:10,0.541429,CL,1
36,nervous,08/08/2019 10:11,0.541429,CL,1
37,nervous,12/08/2019 17:55,0.552247,CL,1
38,excited,12/08/2019 17:55,0.488533,CL,1
39,happy,12/08/2019 19:38,0.533153,CL,1
40,happy,12/08/2019 19:38,0.530654,CL,1
41,relaxed,12/08/2019 19:38,0.480147,CL,1
42,relaxed,12/08/2019 19:44,0.479818,CL,1
43,relaxed,12/08/2019 20:40,0.688377,CL,1
44,calm,12/08/2019 20:45,0.607963,CL,1
45,happy,14/08/2019 13:14,0.5,AP,1
46,excited,16/09/2019 09:48,0.5,CL,1
47,nervous,16/08/2019 13:10,0.5,CL,1
48,happy,16/08/2019 13:10,0.5,CL,1
49,nervous,16/08/2019 14:02,0.5,CL,2
50,nervous,16/08/2019 14:04,0.5,CL,2
51,annoyed,16/08/2019 14:06,0.5,CL,2
52,bored,16/08/2019 14:07,0.5,CL,2
53,happy,16/08/2019 14:12,0.5,CL,2
54,excited,16/08/2019 14:13,0.5,CL,2
55,happy,16/08/2019 16:17,0.5,CL,2
56,nervous,16/08/2019 17:35,0.5,CL,2
57,happy,16/08/2019 20:06,0.5,CL,2
58,happy,16/08/2019 20:10,0.5,CL,2
59,nervous,18/08/2019 09:24,0.5,CL,2
60,relaxed,19/08/2019 17:10,0.5,CL,2
61,happy,23/08/2019 17:02,0.5,CL,1
62,happy,23/08/2019 17:03,0.5,CL,1
63,sad,23/08/2019 17:06,0.5,CL,1
64,happy,23/08/2019 17:06,0.5,CL,1
65,excited,29/08/2019 07:51,0.5,CL,6
66,happy,29/08/2019 07:52,0.5,CL,6
67,annoyed,29/08/2019 07:52,0.5,CL,6
68,annoyed,29/08/2019 07:53,0.5,CL,6
69,relaxed,29/08/2019 10:21,0.5,CL,6
70,happy,30/08/2019 07:10,0.5,CL,6
71,excited,30/08/2019 09:14,0.5,CL,6
72,happy,30/08/2019 09:19,0.5,CL,6
73,excited,30/08/2019 11:08,0.5,CL,6
74,happy,30/08/2019 11:13,0.5,CL,6
75,excited,30/08/2019 13:23,0.5,CL,6
76,nervous,30/08/2019 16:45,0.5,CL,6
309,calm,05/10/2019 10:14,0.481861,CL,23
310,relaxed,05/10/2019 15:30,0.065998,CL,23
311,calm,05/10/2019 19:54,0.439606,CL,23
312,calm,06/10/2019 00:09,0.443448,CL,23
313,calm,06/10/2019 04:02,0.440889,CL,23
314,calm,06/10/2019 05:56,0.440462,CL,23
316,calm,06/10/2019 07:55,0.443875,CL,23
317,calm,06/10/2019 08:27,0.445154,CL,23
319,happy,06/10/2019 11:18,0.832697,CL,23
320,annoyed,06/10/2019 13:17,0.918992,CL,23
321,calm,06/10/2019 13:33,0.476313,CL,23
322,happy,06/10/2019 19:25,0.879751,CL,23
96,relaxed,21/09/2019 12:52,0.5,CL,6
97,happy,21/09/2019 13:28,0.5,CL,6
98,relaxed,21/09/2019 13:33,0.5,CL,6
99,happy,21/09/2019 13:44,0.5,CL,6
100,relaxed,21/09/2019 13:49,0.5,CL,6
101,happy,21/09/2019 14:10,0.5,CL,6
102,relaxed,21/09/2019 14:15,0.5,CL,6
103,happy,21/09/2019 14:35,0.5,CL,6
104,relaxed,21/09/2019 14:41,0.5,CL,6
105,happy,21/09/2019 14:46,0.5,CL,6
106,relaxed,21/09/2019 14:51,0.5,CL,6
107,happy,21/09/2019 14:56,0.5,CL,6
108,relaxed,21/09/2019 15:07,0.5,CL,6
109,happy,21/09/2019 15:32,0.5,CL,6
110,relaxed,21/09/2019 15:38,0.5,CL,6
111,happy,21/09/2019 15:58,0.5,CL,6
112,relaxed,21/09/2019 16:04,0.5,CL,6
113,happy,21/09/2019 16:09,0.5,CL,6
114,relaxed,21/09/2019 16:14,0.5,CL,6
315,calm,06/10/2019 06:22,0.441315,CL,23
318,relaxed,06/10/2019 08:47,0.621805,CL,23
323,calm,06/10/2019 22:16,0.60222,CL,23
325,calm,06/10/2019 22:32,0.601367,CL,23
336,calm,07/10/2019 03:59,0.597954,CL,23
338,calm,07/10/2019 04:20,0.597098,CL,23
341,calm,07/10/2019 06:04,0.596671,CL,23
343,relaxed,07/10/2019 06:20,0.798849,CL,23
124,annoyed,25/09/2019 13:42,0.0552754,CL,23
125,calm,25/09/2019 13:47,0.208843,CL,23
126,annoyed,25/09/2019 16:13,0.591056,CL,23
127,calm,25/09/2019 16:44,0.340098,CL,23
128,relaxed,25/09/2019 21:14,0.633111,CL,23
129,calm,26/09/2019 06:51,0.4529,CL,23
130,annoyed,26/09/2019 12:14,0.672655,CL,23
347,calm,07/10/2019 09:11,0.553993,CL,23
350,relaxed,07/10/2019 09:37,0.3802,CL,23
352,excited,07/10/2019 11:11,0.504363,CL,1
355,calm,07/10/2019 11:52,0.0716981,CL,23
357,calm,07/10/2019 13:49,0.0438911,CL,1
359,happy,07/10/2019 13:00,0.926807,CL,23
362,relaxed,07/10/2019 16:51,0.46667,CL,2
364,relaxed,07/10/2019 20:14,0.775361,CL,2
1181,very happy,06/01/2020 22:04,0.5,BD,4
380,relaxed,10/10/2019 12:06,0.816228,CL,2
384,relaxed,10/10/2019 17:02,0.0545024,CL,2
388,relaxed,11/10/2019 09:31,0.455092,CL,1
390,relaxed,11/10/2019 09:41,0.3033,CL,1
392,relaxed,11/10/2019 09:52,0.416069,CL,1
395,calm,11/10/2019 12:37,0.580879,CL,1
397,calm,11/10/2019 12:48,0.447717,CL,1
399,calm,11/10/2019 12:58,0.581309,CL,1
401,calm,11/10/2019 13:09,0.580452,CL,1
403,calm,11/10/2019 13:19,0.580452,CL,1
405,calm,11/10/2019 13:30,0.580452,CL,1
408,calm,11/10/2019 14:49,0.218199,CL,23
411,calm,11/10/2019 17:35,0.218839,CL,23
414,calm,11/10/2019 18:07,0.208905,CL,23
417,calm,11/10/2019 19:14,0.219159,CL,23
420,calm,11/10/2019 20:01,0.218519,CL,23
425,calm,11/10/2019 23:08,0.218839,CL,23
430,relaxed,12/10/2019 07:50,0.515637,CL,1
432,relaxed,12/10/2019 08:01,0.374749,CL,1
434,relaxed,12/10/2019 08:11,0.403728,CL,1
436,relaxed,12/10/2019 08:22,0.51334,CL,1
438,relaxed,12/10/2019 08:32,0.509897,CL,1
440,relaxed,12/10/2019 08:43,0.514203,CL,1
442,relaxed,12/10/2019 08:53,0.513916,CL,1
446,excited,14/10/2019 08:41,0.584617,CL,1
448,excited,14/10/2019 08:52,0.579854,CL,1
454,calm,14/10/2019 15:42,0.132917,CL,23
457,calm,14/10/2019 18:07,0.521488,CL,23
466,happy,16/10/2019 09:40,0.597427,CL,1
468,happy,16/10/2019 09:50,0.513776,CL,1
470,happy,16/10/2019 10:01,0.441973,CL,1
472,happy,16/10/2019 10:11,0.598124,CL,1
474,happy,16/10/2019 10:22,0.59673,CL,1
476,happy,16/10/2019 10:27,0.598124,CL,1
478,happy,16/10/2019 10:38,0.503665,CL,1
482,relaxed,16/10/2019 16:51,0.359828,CL,1
483,relaxed,16/10/2019 16:56,0.359541,CL,1
484,relaxed,16/10/2019 17:02,0.359828,CL,1
485,relaxed,16/10/2019 17:07,0.360114,CL,1
486,relaxed,16/10/2019 17:12,0.190818,CL,1
487,relaxed,16/10/2019 17:17,0.216356,CL,1
488,relaxed,16/10/2019 17:23,0.358678,CL,1
489,relaxed,16/10/2019 17:28,0.347776,CL,1
490,relaxed,16/10/2019 17:33,0.359828,CL,1
491,relaxed,16/10/2019 17:38,0.359541,CL,1
492,relaxed,16/10/2019 17:44,0.359254,CL,1
493,relaxed,16/10/2019 17:49,0.359254,CL,1
494,relaxed,16/10/2019 17:54,0.358105,CL,1
495,relaxed,16/10/2019 17:59,0.359254,CL,1
496,relaxed,16/10/2019 18:05,0.357531,CL,1
497,relaxed,16/10/2019 18:10,0.359541,CL,1
498,relaxed,16/10/2019 18:14,0.500293,CL,23
499,relaxed,16/10/2019 18:15,0.356097,CL,1
500,relaxed,16/10/2019 18:20,0.359254,CL,1
501,relaxed,16/10/2019 18:25,0.359254,CL,1
502,relaxed,16/10/2019 18:31,0.357818,CL,1
503,relaxed,16/10/2019 18:36,0.358967,CL,1
504,relaxed,16/10/2019 18:41,0.358967,CL,1
505,relaxed,16/10/2019 18:46,0.359254,CL,1
506,relaxed,16/10/2019 18:52,0.183071,CL,1
507,relaxed,16/10/2019 18:57,0.358678,CL,1
508,relaxed,16/10/2019 19:02,0.357818,CL,1
509,relaxed,16/10/2019 19:07,0.185941,CL,1
510,relaxed,16/10/2019 19:13,0.358105,CL,1
511,relaxed,16/10/2019 19:18,0.357531,CL,1
512,relaxed,16/10/2019 19:23,0.358678,CL,1
513,relaxed,16/10/2019 19:28,0.358105,CL,1
514,relaxed,16/10/2019 19:34,0.352654,CL,1
515,relaxed,16/10/2019 19:39,0.347776,CL,1
516,relaxed,16/10/2019 19:45,0.350357,CL,1
517,calm,16/10/2019 21:58,0.275115,CL,23
518,relaxed,17/10/2019 12:04,0.160296,CL,23
519,calm,17/10/2019 14:29,0.259349,CL,23
525,relaxed,18/10/2019 07:43,0.208702,CL,23
526,calm,18/10/2019 08:35,0.27635,CL,23
527,annoyed,18/10/2019 14:07,0.974564,CL,2
528,somewhat sad,18/10/2119 16:04,1,BD,1
529,somewhat happy,18/10/2119 16:05,1,BD,1
530,somewhat relaxed,18/10/2119 16:11,1,BD,1
531,somewhat calm,18/10/2119 16:17,0.5,BD,1
532,somewhat bored,18/10/2119 16:24,1,BD,1
324,calm,06/10/2019 22:27,0.600087,CL,23
326,calm,06/10/2019 23:14,0.60094,CL,23
327,calm,06/10/2019 23:55,0.600087,CL,23
328,calm,07/10/2019 00:52,0.598381,CL,23
329,calm,07/10/2019 01:18,0.599234,CL,23
330,calm,07/10/2019 01:34,0.599661,CL,23
331,calm,07/10/2019 02:15,0.598381,CL,23
332,calm,07/10/2019 02:26,0.598381,CL,23
333,calm,07/10/2019 03:12,0.598808,CL,23
334,calm,07/10/2019 03:23,0.597954,CL,23
335,calm,07/10/2019 03:49,0.598808,CL,23
337,calm,07/10/2019 04:04,0.597525,CL,23
339,calm,07/10/2019 05:07,0.597525,CL,23
340,calm,07/10/2019 05:53,0.596671,CL,23
342,relaxed,07/10/2019 06:14,0.497559,CL,23
344,relaxed,07/10/2019 06:46,0.799136,CL,23
345,relaxed,07/10/2019 07:43,0.798849,CL,23
346,calm,07/10/2019 08:45,0.553566,CL,23
348,bored,07/10/2019 10:22,0.748802,CL,1
349,annoyed,07/10/2019 10:24,0.55987,CL,1
351,relaxed,07/10/2019 09:53,0.43099,CL,23
353,calm,07/10/2019 11:10,0.0716981,CL,23
354,calm,07/10/2019 11:31,0.0721247,CL,23
356,calm,07/10/2019 12:34,0.0704184,CL,23
358,happy,07/10/2019 12:54,0.843501,CL,23
360,calm,07/10/2019 16:04,0.402436,CL,1
361,happy,07/10/2019 16:51,0.579578,CL,2
363,calm,07/10/2019 20:39,0.0503006,CL,1
365,excited,08/10/2019 06:26,0.613487,CL,2
366,relaxed,08/10/2019 07:55,0.477395,CL,2
369,calm,08/10/2019 14:32,0.555917,CL,23
370,happy,08/10/2019 17:39,0.671825,CL,23
371,relaxed,08/10/2019 18:57,0.953691,CL,23
372,calm,09/10/2019 07:56,0.363666,CL,23
373,happy,09/10/2019 09:37,0.763663,CL,2
374,happy,09/10/2019 14:15,0.873184,CL,23
375,calm,09/10/2019 17:17,0.136491,CL,23
376,excited,10/10/2019 07:49,0.504647,CL,1
377,excited,10/10/2019 07:57,0.370779,CL,1
378,nervous,10/10/2019 08:54,0.436497,CL,2
379,relaxed,10/10/2019 12:05,0.810614,CL,1
381,relaxed,10/10/2019 12:09,0.401601,CL,23
382,calm,10/10/2019 14:14,0.17302,CL,23
383,calm,10/10/2019 17:01,0.20529,CL,1
385,relaxed,10/10/2019 19:20,0.412288,CL,23
386,calm,11/10/2019 05:59,0.207624,CL,23
387,excited,11/10/2019 09:29,0.44884,CL,2
389,relaxed,11/10/2019 09:36,0.455092,CL,1
391,relaxed,11/10/2019 09:47,0.455092,CL,1
393,calm,11/10/2019 12:13,0.218519,CL,23
394,calm,11/10/2019 12:32,0.567649,CL,1
396,calm,11/10/2019 12:42,0.580026,CL,1
398,calm,11/10/2019 12:53,0.581309,CL,1
400,calm,11/10/2019 13:03,0.582162,CL,1
402,calm,11/10/2019 13:14,0.580452,CL,1
404,calm,11/10/2019 13:24,0.581735,CL,1
406,calm,11/10/2019 14:02,0.218839,CL,23
407,calm,11/10/2019 14:28,0.218199,CL,23
409,calm,11/10/2019 16:12,0.218519,CL,23
410,calm,11/10/2019 17:25,0.218519,CL,23
412,calm,11/10/2019 17:56,0.218199,CL,23
413,calm,11/10/2019 18:01,0.218199,CL,23
415,calm,11/10/2019 18:17,0.218199,CL,23
416,calm,11/10/2019 18:48,0.218519,CL,23
418,calm,11/10/2019 19:20,0.218199,CL,23
419,calm,11/10/2019 19:56,0.218199,CL,23
421,calm,11/10/2019 21:19,0.218199,CL,23
299,relaxed,03/10/2019 15:32,0.579052,CL,23
300,happy,03/10/2019 20:07,0.57233,CL,23
422,calm,11/10/2019 21:56,0.218199,CL,23
423,calm,11/10/2019 22:32,0.218839,CL,23
424,calm,11/10/2019 22:58,0.218199,CL,23
426,calm,11/10/2019 23:14,0.218199,CL,23
427,calm,11/10/2019 23:24,0.217556,CL,23
428,calm,12/10/2019 00:47,0.217879,CL,23
429,relaxed,12/10/2019 07:43,0.421163,CL,2
431,relaxed,12/10/2019 07:56,0.513054,CL,1
433,relaxed,12/10/2019 08:06,0.51334,CL,1
435,relaxed,12/10/2019 08:17,0.513916,CL,1
437,relaxed,12/10/2019 08:27,0.51334,CL,1
439,relaxed,12/10/2019 08:38,0.514203,CL,1
441,relaxed,12/10/2019 08:48,0.504446,CL,1
443,relaxed,12/10/2019 09:21,0.514204,CL,2
444,relaxed,12/10/2019 09:36,0.51248,CL,1
445,excited,14/10/2019 08:36,0.587124,CL,1
447,excited,14/10/2019 08:46,0.583363,CL,1
449,excited,14/10/2019 08:57,0.583113,CL,1
452,excited,14/10/2019 14:17,0.522313,CL,2
455,annoyed,14/10/2019 16:31,0.51367,CL,2
456,nervous,14/10/2019 17:52,0.102579,CL,23
458,bored,14/10/2019 18:10,0.764566,CL,2
459,relaxed,14/10/2019 22:01,0.436236,CL,23
460,calm,15/10/2019 07:22,0.300462,CL,23
461,calm,15/10/2019 07:39,0.532615,CL,2
462,relaxed,15/10/2019 10:50,0.0171112,CL,23
463,happy,15/10/2019 18:22,0.537454,CL,2
464,excited,16/10/2019 06:55,0.794138,CL,2
465,happy,16/10/2019 09:35,0.533642,CL,1
467,happy,16/10/2019 09:45,0.597079,CL,1
469,happy,16/10/2019 09:56,0.59673,CL,1
471,happy,16/10/2019 10:06,0.599865,CL,1
473,happy,16/10/2019 10:17,0.573029,CL,1
475,calm,16/10/2019 10:27,0.40062,CL,23
477,happy,16/10/2019 10:32,0.59673,CL,1
479,happy,16/10/2019 10:43,0.594637,CL,1
480,nervous,16/10/2019 11:58,0.512353,CL,2
481,relaxed,16/10/2019 15:36,0.50261,CL,2
542,relaxed,18/10/2019 16:58,0.555364,CL,23
551,somewhat happy,18/10/2019 19:56,1,BD,2
552,very happy,18/10/2019 21:10,0.5,BD,2
553,calm,18/10/2019 20:36,0.310665,CL,23
554,somewhat happy,18/10/2019 23:18,1,BD,2
555,somewhat calm,19/10/2019 08:04,0.5,BD,2
556,relaxed,19/10/2019 15:08,0.398555,CL,23
557,calm,19/10/2019 18:25,0.294281,CL,23
558,happy,19/10/2019 19:00,0.964523,CL,2
559,happy,20/10/2019 05:23,0.939172,CL,2
560,relaxed,20/10/2019 08:30,0.00203883,CL,2
561,annoyed,20/10/2019 08:31,0.700603,CL,23
562,happy,20/10/2019 08:35,0.966082,CL,2
563,calm,20/10/2019 09:13,0.323956,CL,23
564,very nervous,20/10/2019 10:41,0.333333,BD,2
565,somewhat nervous,20/10/2019 13:14,0.5,BD,2
566,very nervous,20/10/2019 13:24,0.333333,BD,2
567,happy,20/10/2019 15:22,0.739484,CL,23
568,very bored,20/10/2019 16:29,0.5,BD,2
569,somewhat bored,20/10/2019 16:30,0.5,BD,2
570,very happy,20/10/2019 16:32,1,BD,2
571,somewhat happy,20/10/2019 16:33,0.5,BD,2
572,very relaxed,20/10/2019 16:33,1,BD,2
573,very bored,20/10/2019 16:34,1,BD,2
574,somewhat sad,20/10/2019 16:35,0.5,BD,2
575,somewhat bored,20/10/2019 16:35,1,BD,2
576,relaxed,20/10/2019 16:08,0.884633,CL,23
577,relaxed,20/10/2019 19:55,0.0524724,CL,2
578,calm,21/10/2019 07:27,0.370944,CL,23
579,relaxed,21/10/2019 11:16,0.239426,CL,23
580,somewhat nervous,21/10/2019 12:30,0.125,BD,2
581,calm,21/10/2019 13:57,0.334159,CL,23
582,relaxed,21/10/2019 22:00,0.335946,CL,23
583,calm,22/10/2019 06:39,0.369397,CL,23
584,very nervous,22/10/2019 09:39,1,BD,2
585,very annoyed,22/10/2019 09:44,1,BD,2
586,relaxed,22/10/2019 13:29,0.317687,CL,23
587,nervous,22/10/2019 15:44,0.0700691,CL,23
588,calm,22/10/2019 17:59,0.295208,CL,23
589,relaxed,22/10/2019 20:25,0.462322,CL,23
590,very sad,22/10/2019 23:54,0.5,BD,2
591,calm,23/10/2019 06:22,0.411129,CL,23
592,relaxed,23/10/2019 14:01,0.452756,CL,23
594,calm,24/10/2019 06:17,0.361978,CL,23
606,relaxed,24/10/2019 14:34,0.412758,CL,23
609,calm,25/10/2019 06:04,0.268934,CL,23
612,relaxed,25/10/2019 11:31,0.513915,CL,23
613,very relaxed,25/10/2119 15:22,1,BD,23
614,very happy,25/10/2119 18:09,1,BD,23
617,very excited,25/10/2119 23:04,1,BD,23
618,very relaxed,26/10/2119 00:27,1,BD,23
619,very calm,26/10/2119 08:57,0.5,BD,23
621,very happy,26/10/2119 11:54,1,BD,23
622,somewhat happy,26/10/2119 13:22,0.5,BD,23
623,very happy,26/10/2119 13:37,1,BD,23
624,somewhat happy,26/10/2119 13:47,0.5,BD,23
625,very happy,26/10/2119 13:57,1,BD,23
626,somewhat happy,26/10/2119 14:02,0.5,BD,23
627,very happy,26/10/2119 14:07,1,BD,23
628,very relaxed,26/10/2119 16:04,1,BD,23
630,very happy,26/10/2119 20:05,1,BD,23
631,very calm,27/10/2119 08:55,0.5,BD,23
633,very relaxed,27/10/2119 12:21,0.5,BD,23
634,very happy,27/10/2119 21:55,1,BD,23
635,very relaxed,27/10/2119 23:43,1,BD,23
637,somewhat happy,28/10/2119 11:09,0.5,BD,23
638,very relaxed,28/10/2119 14:01,1,BD,23
639,very calm,28/10/2119 16:43,0.5,BD,23
641,very relaxed,28/10/2119 20:48,1,BD,23
642,very calm,29/10/2119 00:05,0.5,BD,23
643,very relaxed,29/10/2119 08:20,1,BD,23
646,very happy,31/10/2119 13:38,1,BD,23
647,very calm,31/10/2119 15:50,0.5,BD,23
648,somewhat relaxed,01/11/2119 11:47,0.5,BD,23
649,very happy,01/11/2119 18:09,1,BD,23
650,very calm,02/11/2119 08:22,1,BD,23
651,very relaxed,02/11/2119 10:50,1,BD,23
